year;title;genre
2022;На берегах Невы;Публицистика
2022;Федиатрия. Что делать, если у вас ребенок;Здоровье
2022;Ученье — свет, а богов тьма;Фэнтези
2022;Карма. Том 2;Фантастика
2022;Карма. Том 2;Фантастика
2022;Горничная;Детективы
2022;Маленькая тайна мисс Бишоп;Фэнтези
2022;Некроманс. Opus 1;Фэнтези
2022;О книге;Приключения
2022;Мой муж — враг мой;Фэнтези
2022;Шолох. Призрачные рощи;Фэнтези
2022;Детство Чика;Детская литература
2022;Цветок Империи;Фэнтези
2022;Сокровище для белого дракона;Фэнтези
2022;Дети деньги не зарабатывают. Разрешите себе вырасти и обрести финансовую свободу;Финансы
2022;Школа в наследство для попаданки – 2. Жена некроманта;Фэнтези
2022;Мечтавший о солнце. Письма 1883-1890 годов;Биография и мемуары
2022;Кризис и Власть. Том I. Лестница в небо / 2-е издание переработанное и дополненное;Публицистика
2022;Школа чернокнижников. Темная метка;Фэнтези
2022;Война на уничтожение. Третий рейх и геноцид советского народа / Издание 2-е, переработанное и дополненное;Публицистика
2022;Текст, который продает. Посты для соцсетей, статьи для блогов, тексты для маркетплейсов;Бизнес
2022;От 800 метров до марафона. Проверенные методы и программы подготовки для успеха на любой дистанции / 5-е издание, дополненное и переработанное;Спорт
2022;Вересковый мед;Фэнтези
2022;Изоморф. Магистр;Фэнтези
2022;Крах Великой империи. Загадочная история самой крупной геополитической катастрофы;Публицистика
2022;Ведьма по обмену;Фэнтези
2022;Энергия жизни / Второе издание;Религия
2022;Роды просто / 2-е издание, дополненное и переработанное;Здоровье
2022;Ребенок для магиссы;Фэнтези
2022;Правила выживания в Джакарте;Боевик
2022;От войны до войны;Фэнтези
2022;Невеста на полчаса. Книга вторая;Фэнтези
2022;Девочка Шаха;Любовные романы
2022;Тень;Мистика
2022;Увлекательная химия / 11-е издание, исправленное;Учебная литература
2022;Игра слов. Практика и идеология художественного перевода;Бизнес
2022;Факультет Драконьих наездниц;Фэнтези
2022;Азиль;Фантастика
2022;Простите, ректор! Так получилось…;Фэнтези
2022;Зачет по тварезнанию;Фэнтези
2022;В двух шагах от смерти;Детективы
2022;Увлекательная астрономия / 9-е издание, исправленное;Учебная литература
2022;Жёлтая магнолия;Фэнтези
2022;Южная роза;Любовные романы
2022;Биполярники. Как живут и справляются с собой люди с биполярным расстройством / 2-е издание, исправленное, дополненное;Здоровье
2022;Петербург Достоевского. Исторический путеводитель / 2-е издание, переработанное и дополненное;Путеводители
2022;Враг един. Книга первая. Слуга отречения;Мистика
2022;Жлобология 2.1. Откуда берутся деньги и почему не у меня?;Финансы
2022;Ген высоты. Откровенная история десятикратного восходителя на Эверест;Спорт
2022;Бизнес-процессы. Как их описать, отладить и внедрить. Практикум;Бизнес
2022;Ведьма по призванию;Фэнтези
2022;Девушка, которая упала в море;Фэнтези
2022;Хотеть касаться;Любовные романы
2022;Когда ты будешь моей;Любовные романы
2022;Как устроен человек;Учебная литература
2022;Не моя чашка чая;Любовные романы
